Designator,Footprint,Quantity,Value,LCSC Part #
C1001,C_Disc_D8.0mm_W2.5mm_P5.00mm,1,47pF,
C1002,C_Disc_D8.0mm_W2.5mm_P5.00mm,1,30pF,
"C1003, C1004, C1005, C201, C401, C501",C_Disc_D5.0mm_W2.5mm_P2.50mm,6,100nF,
"C1006, C1007",C_Rect_L10.0mm_W5.0mm_P5.00mm_P7.50mm,2,"4,7nF",
C301,CP_Radial_D10.0mm_P5.00mm,1,470uF,
C701,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100nF,
C702,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100pF,
"C901, C902",C_Disc_D8.0mm_W2.5mm_P5.00mm,2,100pF,
D201,LED_D3.0mm,1,LAN,
D202,LED_D3.0mm,1,LN,
D203,LED_D3.0mm,1,XPN,
D204,LED_D3.0mm,1,DCC,
D205,LED_D3.0mm,1,RS,
D301,D_DO-201AD_P15.24mm_Horizontal,1,1N5822,
D302,Module-XL74610,1,D,
D701,DO35-7,1,1N4148,
"DTVS1001, DTVS1002",D_DO-15_P12.70mm_Horizontal,2,P6KE15A,
"F1001, F501",Fuse_Bourns_MF-RHT050,2,Polyfuse 500mA,
F301,Fuse_Bourns_MF-RG300,1,Polyfuse,
F901,Fuse_Bourns_MF-RHT050,1,500mA,
J1001,PinHeader_1x02_P2.54mm_Vertical,1,Loconet_Power,
J1002,RJ25_Wayconn_MJEA-660X1_Horizontal,1,Loconet-T,
J1003,PinHeader_1x01_P2.54mm_Vertical,1,LN_RX,
J1004,PinHeader_1x01_P2.54mm_Vertical,1,LN_TX,
J1005,PinHeader_1x01_P2.54mm_Vertical,1,LN_ACT,
J1006,RJ25_Wayconn_MJEA-660X1_Horizontal,1,Loconet-B,
J201,IDC-Header_2x08_P2.54mm_Vertical,1,Extension,
J202,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,Debug,
J203,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,Serial,
J204,PinHeader_1x03_P2.54mm_Vertical,1,DCC,
J205,PinHeader_1x09_P2.54mm_Vertical,1,Sense,
"J301, J302",PinHeader_1x01_P2.54mm_Vertical,2,GND,
J303,Connector-Power-Barrel-Jack,1,Connector-Power-Barrel-Jack,
J501,Connector-DIN-XpressNet,1,DIN-XpressNet,
J502,PinHeader_1x03_P2.54mm_Vertical,1,XPN,
J503,"PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",1,XpressNet,
J601,"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",1,DCC-OUT,
J701,"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",1,CDE,
J801,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,DCC-SM,
J901,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,RS-Bus,
J902,PinHeader_1x01_P2.54mm_Vertical,1,RS_TX,
J903,PinHeader_1x01_P2.54mm_Vertical,1,RS_RX,
"Q1001, Q1002, Q1003, Q903",TO-92_BC5xx_HandSolder,4,BC547,
Q901,TO-92_BC5xx_HandSolder,1,BC557,
Q902,TO-220-3_Vertical,1,IRLZ44N,
"R1001, R1005, R1006, R203, R602, R701, R802, R901, R905, R908",R-0207-10,10,10K,
R1002,R-0207-10,1,47,
"R1003, R1004",R-0207-10,2,22,
R1007,R-0207-10,1,12K,
R1008,R-0207-10,1,2K2,
"R1009, R909",R-0207-10,2,1K,
R1010,R-0207-10,1,220K,
R1011,R-0207-10,1,3K3,
R1012,R-0207-10,1,6K8,
"R1013, R1014",R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal,2,33Ω (2W),
R201,R-0207-10,1,47K,
R202,R-0207-10,1,22K,
"R204, R205, R206, R207, R208",R-0207-10,5,1K5,
"R209, R210, R211, R703, R902, R903",R-0207-10,6,4K7,
"R501, R503",R-0207-10,2,560,
R502,R-0207-10,1,120,
R504,R-0207-10,1,8K2,
"R601, R702, R801",R-0207-10,3,NF*,
R704,R-0207-10,1,56K,
R705,R-0207-10,1,18K,
"R904, R906",R-0207-10,2,100,
R907,R-0207-10,1,220,
R910,R-0207-10,1,68,
U1001,DIL08,1,LM393,
U1002,DIL08,1,UCC27425,
U201,Module-RP2350B-XXL-Olimex,1,RaspberryPi_Pico2_Module-RP2350B-XXL-Olimex,
U202,TO-92_Inline,1,LM4040LP-3,
U301,Module-StepDown-MP1584-Formfactor,1,5V Step down Module,
U302,Module-StepDown-MP1584-Formfactor,1,12V Step down Module,
U401,Module-W5500,1,Module-W5500,
U501,DIL08,1,MAX3485,
U601,Module-DRV8874,1,DRV8874,
U701,Module-DRV8874,1,DRV8876,
U801,Module-DRV8874,1,DRV8874/8876,
